concert_name,concert_date,concert_time,artist,venue,venue_address,cost, created_at,updated_at
Electric Earth Concerts presents,"Saturday, August 26, 2017",7:30 PM,Horszowski Trio,"120 Maverick Rd, Woodstock, Various NH locations",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, July 23, 2017",4:00 PM,Jasper String Quartet,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, July 30, 2017",4:00 PM,Trio con Brio Copenhagen,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, August 6, 2017",4:00 PM,Dover String Quartet,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, August 13, 2017",4:00 PM,Harlem Quartet,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, August 20, 2017",4:00 PM,Amernet String Quartet,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Saturday, August 26, 2017",6:00 PM,CHAMBER ORCHESTRA CONCERT,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, August 27, 2017",4:00 PM,Trio Solisti,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, September 3, 2017",4:00 PM,Horszowski Trio,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Maverick Concerts presents,"Sunday, September 10, 2017",4:00 PM,Shanghai Quartet,"120 Maverick Rd, Woodstock, Woodstock",Woodstock,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
First Baptist Church of Medford presents,"Friday, August 25, 2017",7:00 PM,Matisse Trio,"29 Oakland St., Medford",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Thursday, July 13, 2017",8:00 PM,Chamber Music,49 Main St,"Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Friday, July 14, 2017",8:00 PM,Chamber Music,49 Main St,"Putney, Vt",25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Saturday, July 15, 2017",8:00 PM,Chamber Music,49 Main St,"Putney, Vt",25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Thursday, July 20, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Friday, July 21, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Saturday, July 22, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Tuesday, July 25, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Wednesday, July 26, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Thursday, July 27, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Friday, July 28, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Saturday, July 29, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Tuesday, August 1, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Wednesday, August 2, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Thursday, August 3, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Friday, August 4, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Saturday, August 5, 2017",12:30 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",18,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Yellow Barn presents,"Saturday, August 5, 2017",8:00 PM,Chamber Music,"49 Main St, Putney, Vt","Putney, Vt",28,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Wednesday, August 2, 2017",7:30 PM,Lydian String Quartet,"Church of the Holy Spirit, Olreans",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Monday, August 21, 2017",7:30 PM,Ying Quartet,"Church of the Holy Spirit, Olreans",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Tuesday, August 1, 2017",7:30 PM,Brahms in the Caf??,"Cotuit Center for the Arts, Cotuit",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Tuesday, August 8, 2017",7:30 PM,The Teacher and the Student,"Cotuit Center for the Arts, Cotuit",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Tuesday, August 15, 2017",7:30 PM,Borromeo String Quartet,"Cotuit Center for the Arts, Cotuit",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Bowdoin International Music Festival (CT) presents,"Friday, July 14, 2017",7:30 PM,Chamber Music,Croocker Theater,Brunswick,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Bowdoin International Music Festival (CT) presents,"Friday, August 4, 2017",7:30 PM,Chamber Music,"Croocker Theater, Brunswick",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Wednesday, August 16, 2017",7:30 PM,Borromeo String Quartet,"Dennis Union Church, Dennis",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Ellingwood Chapel Concert Series (EC) presents,"Saturday, July 15, 2017",8:00 PM,Fin de Si??cle,"Ellingwood Chapel, 195 Nahant Rd",Nahant,25,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Ellingwood Chapel Concert Series (EC) presents,"Saturday, August 19, 2017",8:00 PM,"Jose Lezcano, Guitar","Ellingwood Chapel, 195 Nahant Rd., Nahant",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Ellingwood Chapel Concert Series (EC) presents,"Saturday, September 9, 2017",8:00 PM,"Thomas Stumpf, piano","Ellingwood Chapel, 195 Nahant Rd., Nahant",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Electric Earth Concerts presents,"Sunday, September 10, 2017",4:00 PM,ACRONYM baroque ensemble,"Ellingwood Chapel, 195 Nahant Rd., Various NH locations",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Mohawk Trails Concerts presents,"Saturday, July 15, 2017",7:30 PM,"Matt Haimovitz, cello, and Estela Olevsky, piano",Federated Church,Charlemont,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Mohawk Trails Concerts presents,"Saturday, July 22, 2017",7:30 PM,"Christopher Hall, clarinet / comedian with","Federated Church, Charlemont",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Thursday, August 10, 2017",7:30 PM,Chamber Music,"First Congregational Church, Chatham",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Wednesday, August 23, 2017",7:30 PM,Ying Quartet,"First Congregational Church, Chatham",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Friday, August 4, 2017",7:30 PM,The Power of Wind,"First Congregational Church, Wellfleet",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Monday, August 7, 2017",7:30 PM,Emerson String Quartet,"First Congregational Church, Wellfleet",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Friday, August 18, 2017",7:30 PM,Rossini???s Petite Messe Solennelle,"First Congregational Church, Wellfleet",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Cape Cod Chamber Music Festival presents,"Friday, August 25, 2017",7:30 PM,Ying Quartet,"First Congregational Church, Wellfleet",,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, July 19, 2017",7:00 PM,Opening Night,Hatch Shell Boston Esplanade,Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, July 26, 2017",7:00 PM,Mercury Orchestra,Hatch Shell Boston Esplanade,Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, July 26, 2017",7:00 PM,Mercury Orchestra,Hatch Shell Boston Esplanade,Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, August 2, 2017",7:00 PM,Beethoven &#8211; Symphony #9,"Hatch Shell Boston Esplanade, Boston",Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, August 9, 2017",7:00 PM,Anthems of the World,"Hatch Shell Boston Esplanade, Boston",Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, August 16, 2017",7:00 PM,Longwood Symphony Orchestra,"Hatch Shell Boston Esplanade, Boston",Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Landmarks Orchestra presents,"Wednesday, August 23, 2017",7:00 PM,Landmarks Dance Carnival,"Hatch Shell Boston Esplanade, Boston",Boston,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, July 14, 2017",8:00 PM,"Andris Nelsons, conductor",Koussevitzky Music Shed,Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, July 15, 2017",10:30 AM,"Andris Nelsons, conductor",Koussevitzky Music Shed,Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, July 15, 2017",8:00 PM,"Andris Nelsons, conductor",Koussevitzky Music Shed,Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Sunday, July 16, 2017",2:30 PM,"Andris Nelsons, conductor",Koussevitzky Music Shed,Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, July 21, 2017",8:00 PM,"Gustavo Gimeno, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, July 22, 2017",10:30 AM,"Ken-David Masur, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, July 22, 2017",8:00 PM,"Thomas Ad??s, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Sunday, July 23, 2017",2:30 PM,"Ken-David Masur, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, July 28, 2017",8:00 PM,"Charles Dutoit, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, July 29, 2017",10:30 AM,"Bramwell Tovey, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, July 29, 2017",8:00 PM,"Charles Dutoit, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Tuesday, August 1, 2017",8:00 PM,Tanglewood on Parade,"Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 4, 2017",8:00 PM,"Hans Graf, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 5, 2017",10:30 AM,"Christoph von Dohn??nyi, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 5, 2017",8:00 PM,"Hans Graf, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Sunday, August 6, 2017",2:30 PM,"Christoph von Dohn??nyi, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 11, 2017",10:30 AM,"Lahav Shani, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 11, 2017",8:00 PM,"Giancarlo Guerrero, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 12, 2017",2:30 PM,"Lahav Shani, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Saturday, August 12, 2017",8:00 PM,"Christoph von Dohn??nyi, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Boston Symphony Tanglewood (K) presents,"Friday, August 18, 2017",8:00 PM,"David Afkham, conductor","Koussevitzky Music Shed, Lenox",Lenox,0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
